#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
  4.514479269886e-01  2.898010644311e-01  7.866429669410e-01  8.647916998896e-01   4.643681560279e-01  2.853024844450e-01  7.882743048235e-01  8.674045211772e-01
  4.643681560279e-01  2.853024844450e-01  7.882743048235e-01  8.674045211772e-01   4.948163222148e-01  2.753874923607e-01  7.916852763722e-01  8.732912017337e-01
  4.948163222148e-01  2.753874923607e-01  7.916852763722e-01  8.732912017337e-01   5.121279771782e-01  2.701821772667e-01  7.933713971179e-01  8.764654169876e-01
  5.121279771782e-01  2.701821772667e-01  7.933713971179e-01  8.764654169876e-01   5.378636547882e-01  2.630314776661e-01  7.955695615508e-01  8.809535280656e-01
  5.378636547882e-01  2.630314776661e-01  7.955695615508e-01  8.809535280656e-01   5.459480401331e-01  2.609322289006e-01  7.961892485119e-01  8.823072833375e-01
  5.459480401331e-01  2.609322289006e-01  7.961892485119e-01  8.823072833375e-01   5.696994990615e-01  2.551781184369e-01  7.978299558305e-01  8.861333279663e-01
  5.696994990615e-01  2.551781184369e-01  7.978299558305e-01  8.861333279663e-01   5.780474095293e-01  2.533039184149e-01  7.983466450288e-01  8.874256474771e-01
  5.780474095293e-01  2.533039184149e-01  7.983466450288e-01  8.874256474771e-01   5.810111069096e-01  2.526572601178e-01  7.985229776470e-01  8.878780292652e-01
  5.810111069096e-01  2.526572601178e-01  7.985229776470e-01  8.878780292652e-01   5.875325103498e-01  2.512690365514e-01  7.988982317145e-01  8.888617327073e-01
  5.875325103498e-01  2.512690365514e-01  7.988982317145e-01  8.888617327073e-01   6.239189384425e-01  2.444099336872e-01  8.006922875870e-01  8.940631758567e-01
  6.239189384425e-01  2.444099336872e-01  8.006922875870e-01  8.940631758567e-01   6.634769017235e-01  2.386911669304e-01  8.021356214268e-01  8.991939257162e-01
  6.634769017235e-01  2.386911669304e-01  8.021356214268e-01  8.991939257162e-01   6.662268667368e-01  2.383619978994e-01  8.022186502855e-01  8.995312775105e-01
  6.662268667368e-01  2.383619978994e-01  8.022186502855e-01  8.995312775105e-01   7.041084661456e-01  2.347445786767e-01  8.031608566003e-01  9.039335921220e-01
  7.041084661456e-01  2.347445786767e-01  8.031608566003e-01  9.039335921220e-01   7.082821522036e-01  2.344513007532e-01  8.032432742556e-01  9.043912816320e-01
  7.082821522036e-01  2.344513007532e-01  8.032432742556e-01  9.043912816320e-01   7.404365925243e-01  2.328999053696e-01  8.037521292855e-01  9.077405755624e-01
  7.404365925243e-01  2.328999053696e-01  8.037521292855e-01  9.077405755624e-01   7.504043774008e-01  2.326750475613e-01  8.038679251149e-01  9.087161518641e-01
