#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
 -3.598628830537e-01 -2.538934651991e-01 -1.019235503303e-01 -2.138887388066e-01  -3.600264230463e-01 -2.528541113800e-01 -1.018715744635e-01 -2.138781423654e-01
 -3.600264230463e-01 -2.528541113800e-01 -1.018715744635e-01 -2.138781423654e-01  -3.596686368791e-01 -2.550965092572e-01 -1.019851883067e-01 -2.139016396575e-01
 -3.596686368791e-01 -2.550965092572e-01 -1.019851883067e-01 -2.139016396575e-01  -3.598628830537e-01 -2.538934651991e-01 -1.019235503303e-01 -2.138887388066e-01
 -3.632296159233e-01 -2.170926959957e-01 -1.007686494062e-01 -2.137304868085e-01  -3.632277690258e-01 -2.171712774196e-01 -1.007696863967e-01 -2.137305233107e-01
 -3.632277690258e-01 -2.171712774196e-01 -1.007696863967e-01 -2.137305233107e-01  -3.632515841608e-01 -2.160743639067e-01 -1.007558695300e-01 -2.137300686132e-01
 -3.632515841608e-01 -2.160743639067e-01 -1.007558695300e-01 -2.137300686132e-01  -3.632296159233e-01 -2.170926959957e-01 -1.007686494062e-01 -2.137304868085e-01
 -3.615349708846e-01 -2.416706379776e-01 -1.013859614805e-01 -2.137926516670e-01  -3.616541255219e-01 -2.406102031895e-01 -1.013467640298e-01 -2.137869289337e-01
 -3.616541255219e-01 -2.406102031895e-01 -1.013467640298e-01 -2.137869289337e-01  -3.626623502166e-01 -2.293678146702e-01 -1.010018453504e-01 -2.137458983188e-01
 -3.626623502166e-01 -2.293678146702e-01 -1.010018453504e-01 -2.137458983188e-01  -3.615349708846e-01 -2.416706379776e-01 -1.013859614805e-01 -2.137926516670e-01
 -3.569865414687e-01 -2.692462622879e-01 -1.028334591630e-01 -2.141122124300e-01  -3.576376080296e-01 -2.661416350565e-01 -1.026273929005e-01 -2.140557660998e-01
 -3.576376080296e-01 -2.661416350565e-01 -1.026273929005e-01 -2.140557660998e-01  -3.548325350751e-01 -2.785246019939e-01 -1.035197057147e-01 -2.143219889996e-01
 -3.548325350751e-01 -2.785246019939e-01 -1.035197057147e-01 -2.143219889996e-01  -3.528238364433e-01 -2.861750303091e-01 -1.041690589796e-01 -2.145487201263e-01
 -3.528238364433e-01 -2.861750303091e-01 -1.041690589796e-01 -2.145487201263e-01  -3.514664289955e-01 -2.909452544218e-01 -1.046145150688e-01 -2.147188293539e-01
 -3.514664289955e-01 -2.909452544218e-01 -1.046145150688e-01 -2.147188293539e-01  -3.493770163811e-01 -2.978007587778e-01 -1.053125787415e-01 -2.150076456681e-01
 -3.493770163811e-01 -2.978007587778e-01 -1.053125787415e-01 -2.150076456681e-01  -3.475807891843e-01 -3.033136301011e-01 -1.059262678971e-01 -2.152827415947e-01
 -3.475807891843e-01 -3.033136301011e-01 -1.059262678971e-01 -2.152827415947e-01  -3.450625839886e-01 -3.105742460468e-01 -1.068106949597e-01 -2.157120040303e-01
 -3.450625839886e-01 -3.105742460468e-01 -1.068106949597e-01 -2.157120040303e-01  -3.431599084493e-01 -3.157661017704e-01 -1.074997305312e-01 -2.160719180834e-01
 -3.431599084493e-01 -3.157661017704e-01 -1.074997305312e-01 -2.160719180834e-01  -3.391895422533e-01 -3.259713993033e-01 -1.090034871131e-01 -2.169303159056e-01
 -3.391895422533e-01 -3.259713993033e-01 -1.090034871131e-01 -2.169303159056e-01  -3.381771175733e-01 -3.284633397273e-01 -1.094027459500e-01 -2.171742940183e-01
 -3.381771175733e-01 -3.284633397273e-01 -1.094027459500e-01 -2.171742940183e-01  -3.374393995032e-01 -3.302554303465e-01 -1.096980466612e-01 -2.173589441630e-01
 -3.374393995032e-01 -3.302554303465e-01 -1.096980466612e-01 -2.173589441630e-01  -3.326969917678e-01 -3.413842014168e-01 -1.116929547313e-01 -2.186965496572e-01
 -3.326969917678e-01 -3.413842014168e-01 -1.116929547313e-01 -2.186965496572e-01  -3.326655024849e-01 -3.414562071785e-01 -1.117068020178e-01 -2.187063685729e-01
 -3.326655024849e-01 -3.414562071785e-01 -1.117068020178e-01 -2.187063685729e-01  -3.324533474343e-01 -3.419408006552e-01 -1.118003194611e-01 -2.187728688276e-01
 -3.324533474343e-01 -3.419408006552e-01 -1.118003194611e-01 -2.187728688276e-01  -3.276772401316e-01 -3.526456630557e-01 -1.140142044624e-01 -2.204408691592e-01
 -3.276772401316e-01 -3.526456630557e-01 -1.140142044624e-01 -2.204408691592e-01  -3.268131513550e-01 -3.545507513550e-01 -1.144386655814e-01 -2.207807242142e-01
 -3.268131513550e-01 -3.545507513550e-01 -1.144386655814e-01 -2.207807242142e-01  -3.252236404272e-01 -3.580395439682e-01 -1.152404511614e-01 -2.214398116242e-01
 -3.252236404272e-01 -3.580395439682e-01 -1.152404511614e-01 -2.214398116242e-01  -3.205337829197e-01 -3.682834578647e-01 -1.177792816053e-01 -2.236708103747e-01
 -3.205337829197e-01 -3.682834578647e-01 -1.177792816053e-01 -2.236708103747e-01  -3.151620790501e-01 -3.801304205939e-01 -1.210541430669e-01 -2.268604265741e-01
 -3.151620790501e-01 -3.801304205939e-01 -1.210541430669e-01 -2.268604265741e-01  -3.138661897395e-01 -3.830396854396e-01 -1.219113952700e-01 -2.277517010244e-01
 -3.138661897395e-01 -3.830396854396e-01 -1.219113952700e-01 -2.277517010244e-01  -3.132563277455e-01 -3.844187112754e-01 -1.223246686386e-01 -2.281895974931e-01
 -3.132563277455e-01 -3.844187112754e-01 -1.223246686386e-01 -2.281895974931e-01  -3.115852941857e-01 -3.882349230907e-01 -1.234907605685e-01 -2.294537946495e-01
 -3.115852941857e-01 -3.882349230907e-01 -1.234907605685e-01 -2.294537946495e-01  -3.083895673556e-01 -3.957206312564e-01 -1.258675459406e-01 -2.321602464346e-01
 -3.083895673556e-01 -3.957206312564e-01 -1.258675459406e-01 -2.321602464346e-01  -3.069393598518e-01 -3.992168661886e-01 -1.270145494572e-01 -2.335280296259e-01
 -3.069393598518e-01 -3.992168661886e-01 -1.270145494572e-01 -2.335280296259e-01  -3.036164867775e-01 -4.075199174972e-01 -1.298191302173e-01 -2.370401482078e-01
 -3.036164867775e-01 -4.075199174972e-01 -1.298191302173e-01 -2.370401482078e-01  -2.998898472071e-01 -4.174311557380e-01 -1.332854705097e-01 -2.417082537963e-01
 -2.998898472071e-01 -4.174311557380e-01 -1.332854705097e-01 -2.417082537963e-01  -2.978166495027e-01 -4.232817973237e-01 -1.353752265744e-01 -2.446971494476e-01
 -2.978166495027e-01 -4.232817973237e-01 -1.353752265744e-01 -2.446971494476e-01  -2.927075243903e-01 -4.389814102847e-01 -1.410667966889e-01 -2.535083142427e-01
 -2.927075243903e-01 -4.389814102847e-01 -1.410667966889e-01 -2.535083142427e-01  -2.897763323791e-01 -4.489691262422e-01 -1.447016064669e-01 -2.596564677524e-01
 -2.897763323791e-01 -4.489691262422e-01 -1.447016064669e-01 -2.596564677524e-01  -2.852922385497e-01 -4.658731451409e-01 -1.507848784820e-01 -2.708844369873e-01
 -2.852922385497e-01 -4.658731451409e-01 -1.507848784820e-01 -2.708844369873e-01  -2.842134219244e-01 -4.702506893716e-01 -1.523356779542e-01 -2.739407681599e-01
 -2.842134219244e-01 -4.702506893716e-01 -1.523356779542e-01 -2.739407681599e-01  -2.833113164113e-01 -4.740039440573e-01 -1.536551144543e-01 -2.766051138141e-01
 -2.833113164113e-01 -4.740039440573e-01 -1.536551144543e-01 -2.766051138141e-01  -2.809260675648e-01 -4.843199039647e-01 -1.572272713622e-01 -2.841215007352e-01
 -2.809260675648e-01 -4.843199039647e-01 -1.572272713622e-01 -2.841215007352e-01  -2.777892447522e-01 -4.986481815511e-01 -1.620392671511e-01 -2.949795919026e-01
 -2.777892447522e-01 -4.986481815511e-01 -1.620392671511e-01 -2.949795919026e-01  -2.776500761835e-01 -4.993002722255e-01 -1.622537847509e-01 -2.954841517134e-01
 -2.776500761835e-01 -4.993002722255e-01 -1.622537847509e-01 -2.954841517134e-01  -2.774150182362e-01 -5.004042574864e-01 -1.626160369350e-01 -2.963402966498e-01
 -2.774150182362e-01 -5.004042574864e-01 -1.626160369350e-01 -2.963402966498e-01  -2.744810014952e-01 -5.143887151064e-01 -1.671010333129e-01 -3.073820939096e-01
 -2.744810014952e-01 -5.143887151064e-01 -1.671010333129e-01 -3.073820939096e-01  -2.726646512087e-01 -5.231277782187e-01 -1.698022971624e-01 -3.144501724177e-01
 -2.726646512087e-01 -5.231277782187e-01 -1.698022971624e-01 -3.144501724177e-01  -2.711922789330e-01 -5.301768953215e-01 -1.719220232212e-01 -3.202345137900e-01
 -2.711922789330e-01 -5.301768953215e-01 -1.719220232212e-01 -3.202345137900e-01  -2.681607140417e-01 -5.443647130986e-01 -1.760227317355e-01 -3.320749816340e-01
 -2.681607140417e-01 -5.443647130986e-01 -1.760227317355e-01 -3.320749816340e-01  -2.675307089198e-01 -5.472297701727e-01 -1.768232570329e-01 -3.344949549775e-01
 -2.675307089198e-01 -5.472297701727e-01 -1.768232570329e-01 -3.344949549775e-01  -2.670740266768e-01 -5.492843943563e-01 -1.773915194905e-01 -3.362358803159e-01
 -2.670740266768e-01 -5.492843943563e-01 -1.773915194905e-01 -3.362358803159e-01  -2.624758038551e-01 -5.687285943829e-01 -1.825216623374e-01 -3.529129039277e-01
 -2.624758038551e-01 -5.687285943829e-01 -1.825216623374e-01 -3.529129039277e-01  -2.575626497405e-01 -5.865922833207e-01 -1.868171877175e-01 -3.684898168210e-01
 -2.575626497405e-01 -5.865922833207e-01 -1.868171877175e-01 -3.684898168210e-01  -2.563976428428e-01 -5.903621327943e-01 -1.876687014182e-01 -3.717991881534e-01
 -2.563976428428e-01 -5.903621327943e-01 -1.876687014182e-01 -3.717991881534e-01  -2.549030739515e-01 -5.949401811955e-01 -1.886753469328e-01 -3.758250859232e-01
 -2.549030739515e-01 -5.949401811955e-01 -1.886753469328e-01 -3.758250859232e-01  -2.481092312693e-01 -6.122866562123e-01 -1.921916036086e-01 -3.911021541647e-01
 -2.481092312693e-01 -6.122866562123e-01 -1.921916036086e-01 -3.911021541647e-01  -2.413855552472e-01 -6.244861159469e-01 -1.943281755213e-01 -4.017577375864e-01
