1.36  0.48     1.368  0.006 1000  0.0 0.0 
0.406  0.7   1.445  0.006 1000  0.0 0.0 
0.66 1.32   1.428  0.006  1000  0.0 0.0
0.94 1.3267   1.442  0.006  1000  0.0 0.0
