4   1.3390   -0.8678    0.1498
  -1.2363   -0.6501 1975.9874     0.000
   0.0000   -0.0000 -5301.2193     0.017
   0.0016    0.0091 -8576.4142     0.013
  -1.6422    0.5689 -1527.1359     0.020
