#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
 -2.017344586968e+00 -3.166584952394e+00 -1.167372722831e+00 -2.198580794753e+00  -2.008973557014e+00 -3.184591688626e+00 -1.172963070685e+00 -2.206623073126e+00
 -2.008973557014e+00 -3.184591688626e+00 -1.172963070685e+00 -2.206623073126e+00  -1.981902088524e+00 -3.234167389151e+00 -1.187175646490e+00 -2.227632097274e+00
 -1.981902088524e+00 -3.234167389151e+00 -1.187175646490e+00 -2.227632097274e+00  -1.972599045209e+00 -3.248755943263e+00 -1.190983758273e+00 -2.233420555385e+00
 -1.972599045209e+00 -3.248755943263e+00 -1.190983758273e+00 -2.233420555385e+00  -1.967335905892e+00 -3.256548451509e+00 -1.192938827638e+00 -2.236422769931e+00
 -1.967335905892e+00 -3.256548451509e+00 -1.192938827638e+00 -2.236422769931e+00  -1.905076842112e+00 -3.329197730968e+00 -1.207844346928e+00 -2.260187755385e+00
 -1.905076842112e+00 -3.329197730968e+00 -1.207844346928e+00 -2.260187755385e+00  -1.818367643934e+00 -3.390135649244e+00 -1.212622327654e+00 -2.268338283627e+00
 -1.818367643934e+00 -3.390135649244e+00 -1.212622327654e+00 -2.268338283627e+00  -1.734670009036e+00 -3.421090325255e+00 -1.207322502546e+00 -2.258189326774e+00
 -1.734670009036e+00 -3.421090325255e+00 -1.207322502546e+00 -2.258189326774e+00  -1.650397743826e+00 -3.433081439010e+00 -1.196100352654e+00 -2.235106990719e+00
 -1.650397743826e+00 -3.433081439010e+00 -1.196100352654e+00 -2.235106990719e+00  -1.630255339555e+00 -3.433645574975e+00 -1.192800490946e+00 -2.228010665841e+00
 -1.630255339555e+00 -3.433645574975e+00 -1.192800490946e+00 -2.228010665841e+00  -1.594393031083e+00 -3.432724460300e+00 -1.186465521440e+00 -2.214036821493e+00
 -1.594393031083e+00 -3.432724460300e+00 -1.186465521440e+00 -2.214036821493e+00  -1.556306576208e+00 -3.429246436901e+00 -1.179190243932e+00 -2.197444381267e+00
 -1.556306576208e+00 -3.429246436901e+00 -1.179190243932e+00 -2.197444381267e+00  -1.542799473338e+00 -3.427434711179e+00 -1.176494498448e+00 -2.191152092957e+00
 -1.542799473338e+00 -3.427434711179e+00 -1.176494498448e+00 -2.191152092957e+00  -1.493902442746e+00 -3.418516566592e+00 -1.166316192344e+00 -2.166698605810e+00
 -1.493902442746e+00 -3.418516566592e+00 -1.166316192344e+00 -2.166698605810e+00  -1.464920139824e+00 -3.411585459398e+00 -1.160024729757e+00 -2.151031157991e+00
 -1.464920139824e+00 -3.411585459398e+00 -1.160024729757e+00 -2.151031157991e+00  -1.438359651690e+00 -3.404224386898e+00 -1.154124974491e+00 -2.135949851606e+00
 -1.438359651690e+00 -3.404224386898e+00 -1.154124974491e+00 -2.135949851606e+00  -1.398997791423e+00 -3.391631369443e+00 -1.145195915457e+00 -2.112389353097e+00
 -1.398997791423e+00 -3.391631369443e+00 -1.145195915457e+00 -2.112389353097e+00  -1.387468811947e+00 -3.387577212965e+00 -1.142547166822e+00 -2.105225210883e+00
 -1.387468811947e+00 -3.387577212965e+00 -1.142547166822e+00 -2.105225210883e+00  -1.340104680991e+00 -3.369264139045e+00 -1.131554165229e+00 -2.074597800742e+00
 -1.340104680991e+00 -3.369264139045e+00 -1.131554165229e+00 -2.074597800742e+00  -1.340026361279e+00 -3.369231722014e+00 -1.131535879683e+00 -2.074545618232e+00
 -1.340026361279e+00 -3.369231722014e+00 -1.131535879683e+00 -2.074545618232e+00  -1.339674481159e+00 -3.369085936208e+00 -1.131453705030e+00 -2.074311059630e+00
 -1.339674481159e+00 -3.369085936208e+00 -1.131453705030e+00 -2.074311059630e+00  -1.286013661925e+00 -3.345248348598e+00 -1.118880388919e+00 -2.037383601817e+00
 -1.286013661925e+00 -3.345248348598e+00 -1.118880388919e+00 -2.037383601817e+00  -1.272188395054e+00 -3.338604162257e+00 -1.115636936492e+00 -2.027507496398e+00
 -1.272188395054e+00 -3.338604162257e+00 -1.115636936492e+00 -2.027507496398e+00  -1.235490511045e+00 -3.320007707456e+00 -1.107046815741e+00 -2.000602527208e+00
 -1.235490511045e+00 -3.320007707456e+00 -1.107046815741e+00 -2.000602527208e+00  -1.210691929467e+00 -3.306672028762e+00 -1.101273473287e+00 -1.981870489161e+00
 -1.210691929467e+00 -3.306672028762e+00 -1.101273473287e+00 -1.981870489161e+00  -1.187765414606e+00 -3.293806493012e+00 -1.095970670617e+00 -1.964169715584e+00
 -1.187765414606e+00 -3.293806493012e+00 -1.095970670617e+00 -1.964169715584e+00  -1.153791212515e+00 -3.273816705257e+00 -1.088194022065e+00 -1.937282955150e+00
 -1.153791212515e+00 -3.273816705257e+00 -1.088194022065e+00 -1.937282955150e+00  -1.142319759316e+00 -3.266822745432e+00 -1.085594674862e+00 -1.928031995182e+00
 -1.142319759316e+00 -3.266822745432e+00 -1.085594674862e+00 -1.928031995182e+00  -1.100355172639e+00 -3.240210659054e+00 -1.076223633394e+00 -1.893470500889e+00
 -1.100355172639e+00 -3.240210659054e+00 -1.076223633394e+00 -1.893470500889e+00  -1.098783924247e+00 -3.239183355743e+00 -1.075877424362e+00 -1.892154910053e+00
 -1.098783924247e+00 -3.239183355743e+00 -1.075877424362e+00 -1.892154910053e+00  -1.091517629342e+00 -3.234403914385e+00 -1.074281140656e+00 -1.886051058571e+00
 -1.091517629342e+00 -3.234403914385e+00 -1.074281140656e+00 -1.886051058571e+00  -1.056883586797e+00 -3.210982499012e+00 -1.066788084762e+00 -1.856515895764e+00
 -1.056883586797e+00 -3.210982499012e+00 -1.066788084762e+00 -1.856515895764e+00  -1.049338488532e+00 -3.205741112982e+00 -1.065182917332e+00 -1.849986382972e+00
 -1.049338488532e+00 -3.205741112982e+00 -1.065182917332e+00 -1.849986382972e+00  -1.016408358534e+00 -3.182292401678e+00 -1.058303233807e+00 -1.821100423167e+00
 -1.016408358534e+00 -3.182292401678e+00 -1.058303233807e+00 -1.821100423167e+00  -1.000519693648e+00 -3.170648642421e+00 -1.055062366048e+00 -1.806941562185e+00
 -1.000519693648e+00 -3.170648642421e+00 -1.055062366048e+00 -1.806941562185e+00  -9.771926742900e-01 -3.153169902337e+00 -1.050404858122e+00 -1.785899670276e+00
 -9.771926742900e-01 -3.153169902337e+00 -1.050404858122e+00 -1.785899670276e+00  -9.535942887228e-01 -3.135027956110e+00 -1.045823340031e+00 -1.764311908179e+00
 -9.535942887228e-01 -3.135027956110e+00 -1.045823340031e+00 -1.764311908179e+00  -9.391034618521e-01 -3.123660684737e+00 -1.043079019538e+00 -1.750909054357e+00
 -9.391034618521e-01 -3.123660684737e+00 -1.043079019538e+00 -1.750909054357e+00  -9.082816490964e-01 -3.098913804236e+00 -1.037428320535e+00 -1.722039878944e+00
 -9.082816490964e-01 -3.098913804236e+00 -1.037428320535e+00 -1.722039878944e+00  -9.020318675552e-01 -3.093802118387e+00 -1.036314930103e+00 -1.716127273296e+00
 -9.020318675552e-01 -3.093802118387e+00 -1.036314930103e+00 -1.716127273296e+00  -8.730518315151e-01 -3.069689647928e+00 -1.031303445159e+00 -1.688458605001e+00
 -8.730518315151e-01 -3.069689647928e+00 -1.031303445159e+00 -1.688458605001e+00  -8.653341154248e-01 -3.063155072920e+00 -1.030012332914e+00 -1.681021416587e+00
 -8.653341154248e-01 -3.063155072920e+00 -1.030012332914e+00 -1.681021416587e+00  -8.635380756288e-01 -3.061627566691e+00 -1.029714577856e+00 -1.679286579531e+00
 -8.635380756288e-01 -3.061627566691e+00 -1.029714577856e+00 -1.679286579531e+00  -8.275719142134e-01 -3.030500968233e+00 -1.023975289156e+00 -1.644228661458e+00
 -8.275719142134e-01 -3.030500968233e+00 -1.023975289156e+00 -1.644228661458e+00  -8.172164939122e-01 -3.021349692835e+00 -1.022404712078e+00 -1.634025041722e+00
 -8.172164939122e-01 -3.021349692835e+00 -1.022404712078e+00 -1.634025041722e+00  -7.910534229475e-01 -2.997853972883e+00 -1.018608934347e+00 -1.608034510191e+00
 -7.910534229475e-01 -2.997853972883e+00 -1.018608934347e+00 -1.608034510191e+00  -7.727212888832e-01 -2.981071818978e+00 -1.016102436891e+00 -1.589648141824e+00
 -7.727212888832e-01 -2.981071818978e+00 -1.016102436891e+00 -1.589648141824e+00  -7.556827797776e-01 -2.965238986128e+00 -1.013891070711e+00 -1.572434083492e+00
 -7.556827797776e-01 -2.965238986128e+00 -1.013891070711e+00 -1.572434083492e+00  -7.298399516290e-01 -2.940793945121e+00 -1.010763997759e+00 -1.546102959090e+00
 -7.298399516290e-01 -2.940793945121e+00 -1.010763997759e+00 -1.546102959090e+00  -7.213800451382e-01 -2.932678923813e+00 -1.009801879209e+00 -1.537426853544e+00
 -7.213800451382e-01 -2.932678923813e+00 -1.009801879209e+00 -1.537426853544e+00  -6.884025491529e-01 -2.900516071265e+00 -1.006354743658e+00 -1.503353205993e+00
 -6.884025491529e-01 -2.900516071265e+00 -1.006354743658e+00 -1.503353205993e+00  -6.880780041107e-01 -2.900195349654e+00 -1.006323284126e+00 -1.503015923497e+00
 -6.880780041107e-01 -2.900195349654e+00 -1.006323284126e+00 -1.503015923497e+00  -6.867363774530e-01 -2.898868688177e+00 -1.006193758403e+00 -1.501621274937e+00
 -6.867363774530e-01 -2.898868688177e+00 -1.006193758403e+00 -1.501621274937e+00  -6.554614317193e-01 -2.867547120420e+00 -1.003417457995e+00 -1.468936155638e+00
 -6.554614317193e-01 -2.867547120420e+00 -1.003417457995e+00 -1.468936155638e+00  -6.482704775947e-01 -2.860238197408e+00 -1.002846727352e+00 -1.461375357499e+00
 -6.482704775947e-01 -2.860238197408e+00 -1.002846727352e+00 -1.461375357499e+00  -6.237262852706e-01 -2.834988972383e+00 -1.001096780341e+00 -1.435447752352e+00
 -6.237262852706e-01 -2.834988972383e+00 -1.001096780341e+00 -1.435447752352e+00  -6.093291318906e-01 -2.819960323551e+00 -1.000216984766e+00 -1.420156075654e+00
 -6.093291318906e-01 -2.819960323551e+00 -1.000216984766e+00 -1.420156075654e+00  -5.928407148784e-01 -2.802550301420e+00 -9.993472049936e-01 -1.402572429191e+00
 -5.928407148784e-01 -2.802550301420e+00 -9.993472049936e-01 -1.402572429191e+00  -5.714823946515e-01 -2.779682449695e+00 -9.984462400003e-01 -1.379690391912e+00
 -5.714823946515e-01 -2.779682449695e+00 -9.984462400003e-01 -1.379690391912e+00  -5.627681062422e-01 -2.770249648604e+00 -9.981538557275e-01 -1.370322613101e+00
