#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
  1.156209041847e+00 -1.484033920259e+00  1.252264095412e+00 -6.535285641166e-01   1.175477205007e+00 -1.495478703919e+00  1.256959557002e+00 -6.693076786135e-01
  1.175477205007e+00 -1.495478703919e+00  1.256959557002e+00 -6.693076786135e-01   1.187004287097e+00 -1.502273069781e+00  1.259955395147e+00 -6.787949272287e-01
  1.187004287097e+00 -1.502273069781e+00  1.259955395147e+00 -6.787949272287e-01   1.204684679190e+00 -1.512617667048e+00  1.264813937819e+00 -6.934020271908e-01
  1.204684679190e+00 -1.512617667048e+00  1.264813937819e+00 -6.934020271908e-01   1.214372273321e+00 -1.518246201848e+00  1.267607907334e+00 -7.014289454508e-01
  1.214372273321e+00 -1.518246201848e+00  1.267607907334e+00 -7.014289454508e-01   1.218104922974e+00 -1.520407378567e+00  1.268708814316e+00 -7.045253869332e-01
  1.218104922974e+00 -1.520407378567e+00  1.268708814316e+00 -7.045253869332e-01   1.237285028896e+00 -1.531446355055e+00  1.274574912948e+00 -7.204620628837e-01
  1.237285028896e+00 -1.531446355055e+00  1.274574912948e+00 -7.204620628837e-01   1.249524127818e+00 -1.538432322489e+00  1.278496621597e+00 -7.306483573164e-01
  1.249524127818e+00 -1.538432322489e+00  1.278496621597e+00 -7.306483573164e-01   1.260737762062e+00 -1.544792876603e+00  1.282208048315e+00 -7.399882824655e-01
  1.260737762062e+00 -1.544792876603e+00  1.282208048315e+00 -7.399882824655e-01   1.281276612301e+00 -1.556342851366e+00  1.289289840477e+00 -7.571026478036e-01
  1.281276612301e+00 -1.556342851366e+00  1.289289840477e+00 -7.571026478036e-01   1.284712845523e+00 -1.558262494103e+00  1.290509576668e+00 -7.599659005704e-01
  1.284712845523e+00 -1.558262494103e+00  1.290509576668e+00 -7.599659005704e-01   1.295635560075e+00 -1.564340090116e+00  1.294451464575e+00 -7.690654658492e-01
  1.295635560075e+00 -1.564340090116e+00  1.294451464575e+00 -7.690654658492e-01   1.308986309954e+00 -1.571718119989e+00  1.299400499324e+00 -7.801813681336e-01
  1.308986309954e+00 -1.571718119989e+00  1.299400499324e+00 -7.801813681336e-01   1.313378816061e+00 -1.574133321465e+00  1.301059550215e+00 -7.838364091914e-01
  1.313378816061e+00 -1.574133321465e+00  1.301059550215e+00 -7.838364091914e-01   1.333607689762e+00 -1.585177347570e+00  1.308890863522e+00 -8.006500675902e-01
  1.333607689762e+00 -1.585177347570e+00  1.308890863522e+00 -8.006500675902e-01   1.345849222278e+00 -1.591797387499e+00  1.313777900785e+00 -8.108061488180e-01
  1.345849222278e+00 -1.591797387499e+00  1.313777900785e+00 -8.108061488180e-01   1.358742477645e+00 -1.598717719622e+00  1.319041320428e+00 -8.214841882461e-01
  1.358742477645e+00 -1.598717719622e+00  1.319041320428e+00 -8.214841882461e-01   1.378708693635e+00 -1.609327887303e+00  1.327418912107e+00 -8.379758434557e-01
  1.378708693635e+00 -1.609327887303e+00  1.327418912107e+00 -8.379758434557e-01   1.384381861126e+00 -1.612318803897e+00  1.329847997958e+00 -8.426508449952e-01
  1.384381861126e+00 -1.612318803897e+00  1.329847997958e+00 -8.426508449952e-01   1.405106687749e+00 -1.623154371986e+00  1.338897950921e+00 -8.596835497377e-01
  1.405106687749e+00 -1.623154371986e+00  1.338897950921e+00 -8.596835497377e-01   1.410580258410e+00 -1.625992171953e+00  1.341333060258e+00 -8.641692407325e-01
  1.410580258410e+00 -1.625992171953e+00  1.341333060258e+00 -8.641692407325e-01   1.412078376218e+00 -1.626767121883e+00  1.342002748197e+00 -8.653959980371e-01
  1.412078376218e+00 -1.626767121883e+00  1.342002748197e+00 -8.653959980371e-01   1.437321144960e+00 -1.639710273206e+00  1.353487843331e+00 -8.859999053531e-01
  1.437321144960e+00 -1.639710273206e+00  1.353487843331e+00 -8.859999053531e-01   1.445962505792e+00 -1.644090948911e+00  1.357504141689e+00 -8.930228488331e-01
  1.445962505792e+00 -1.644090948911e+00  1.357504141689e+00 -8.930228488331e-01   1.464254663650e+00 -1.653278442846e+00  1.366141950782e+00 -9.078344635239e-01
  1.464254663650e+00 -1.653278442846e+00  1.366141950782e+00 -9.078344635239e-01   1.479828156975e+00 -1.661007608275e+00  1.373636237474e+00 -9.203832860886e-01
  1.479828156975e+00 -1.661007608275e+00  1.373636237474e+00 -9.203832860886e-01   1.491389771317e+00 -1.666689709486e+00  1.379280067739e+00 -9.296611904334e-01
  1.491389771317e+00 -1.666689709486e+00  1.379280067739e+00 -9.296611904334e-01   1.513722569360e+00 -1.677528289007e+00  1.390366816676e+00 -9.474862876028e-01
  1.513722569360e+00 -1.677528289007e+00  1.390366816676e+00 -9.474862876028e-01   1.518736322678e+00 -1.679936402894e+00  1.392888137172e+00 -9.514700241690e-01
  1.518736322678e+00 -1.679936402894e+00  1.392888137172e+00 -9.514700241690e-01   1.540264571490e+00 -1.690169827896e+00  1.403843039203e+00 -9.684976357198e-01
  1.540264571490e+00 -1.690169827896e+00  1.403843039203e+00 -9.684976357198e-01   1.546305404624e+00 -1.693009893796e+00  1.406953384462e+00 -9.732523667736e-01
  1.546305404624e+00 -1.693009893796e+00  1.406953384462e+00 -9.732523667736e-01   1.547608311418e+00 -1.693620623728e+00  1.407626268332e+00 -9.742765233107e-01
  1.547608311418e+00 -1.693620623728e+00  1.407626268332e+00 -9.742765233107e-01   1.574109392546e+00 -1.705900550036e+00  1.421464366687e+00 -9.950009527149e-01
  1.574109392546e+00 -1.705900550036e+00  1.421464366687e+00 -9.950009527149e-01   1.581330375804e+00 -1.709198906212e+00  1.425283390517e+00 -1.000611868833e+00
  1.581330375804e+00 -1.709198906212e+00  1.425283390517e+00 -1.000611868833e+00   1.602162228447e+00 -1.718597520121e+00  1.436411014210e+00 -1.016709720532e+00
  1.602162228447e+00 -1.718597520121e+00  1.436411014210e+00 -1.016709720532e+00   1.615246584795e+00 -1.724410473074e+00  1.443480362570e+00 -1.026751556489e+00
  1.615246584795e+00 -1.724410473074e+00  1.443480362570e+00 -1.026751556489e+00   1.630479718852e+00 -1.731088501337e+00  1.451784687815e+00 -1.038373716023e+00
  1.630479718852e+00 -1.731088501337e+00  1.451784687815e+00 -1.038373716023e+00   1.649405519793e+00 -1.739248329446e+00  1.462207488339e+00 -1.052707849043e+00
  1.649405519793e+00 -1.739248329446e+00  1.462207488339e+00 -1.052707849043e+00   1.659079794743e+00 -1.743359537441e+00  1.467578257126e+00 -1.059989024868e+00
  1.659079794743e+00 -1.743359537441e+00  1.467578257126e+00 -1.059989024868e+00   1.683860659335e+00 -1.753701114299e+00  1.481460245475e+00 -1.078494768349e+00
  1.683860659335e+00 -1.753701114299e+00  1.481460245475e+00 -1.078494768349e+00   1.687983098177e+00 -1.755394562074e+00  1.483786198148e+00 -1.081552722006e+00
  1.687983098177e+00 -1.755394562074e+00  1.483786198148e+00 -1.081552722006e+00   1.709566722798e+00 -1.764132185485e+00  1.496036625558e+00 -1.097465251402e+00
  1.709566722798e+00 -1.764132185485e+00  1.496036625558e+00 -1.097465251402e+00   1.716158608075e+00 -1.766756942399e+00  1.499801327383e+00 -1.102291941647e+00
  1.716158608075e+00 -1.766756942399e+00  1.499801327383e+00 -1.102291941647e+00   1.717213456597e+00 -1.767175029594e+00  1.500404735391e+00 -1.103062862091e+00
