#    SUBHALO_ID	   Rein_z(arcsec)
      173033	     0.643437
      173853	      1.41989
      175082	     0.696183
      175763	     0.798027
      176627	     0.353867
      176903	     0.917656
      177518	      1.12287
      177811	     0.399639
      178139	     0.589964
      178530	     0.546667
      178782	     0.488161
      179102	      1.27772
      179595	     0.527165
      180625	     0.767690
      180919	     0.423771
      181237	     0.683181
      181438	     0.250361
      182551	     0.826196
      182747	     0.950761
      183492	     0.256303
      183815	     0.145469
      184412	     0.634102
      186566	      1.01205
      187027	     0.488161
      188807	      1.11394
      189027	     0.724352
      190462	     0.457824
      190634	     0.131185
      191108	     0.353490
      191760	     0.377649
      192586	     0.639764
      193141	     0.554765
      193555	     0.999497
      193737	     0.496828
      194974	     0.301808
      196489	     0.810179
      196680	     0.469993
      196911	     0.511997
      197117	     0.466492
