#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
 -1.590027072547e+00 -2.105207348082e+00 -7.522043597413e-01 -1.278361978051e+00  -1.567214609380e+00 -2.119427090691e+00 -7.440038739027e-01 -1.272427966542e+00
 -1.567214609380e+00 -2.119427090691e+00 -7.440038739027e-01 -1.272427966542e+00  -1.556647630177e+00 -2.125734428283e+00 -7.402352101701e-01 -1.269623352933e+00
 -1.556647630177e+00 -2.125734428283e+00 -7.402352101701e-01 -1.269623352933e+00  -1.590027072547e+00 -2.105207348082e+00 -7.522043597413e-01 -1.278361978051e+00
 -1.642217545167e+00 -2.069237197218e+00 -7.712363904811e-01 -1.291269237369e+00  -1.657050554362e+00 -2.058033202954e+00 -7.766957121795e-01 -1.294754019165e+00
 -1.657050554362e+00 -2.058033202954e+00 -7.766957121795e-01 -1.294754019165e+00  -1.694828463916e+00 -2.027214447351e+00 -7.906476881256e-01 -1.303226359098e+00
 -1.694828463916e+00 -2.027214447351e+00 -7.906476881256e-01 -1.303226359098e+00  -1.737960130311e+00 -1.987302907216e+00 -8.065496624001e-01 -1.312123561729e+00
 -1.737960130311e+00 -1.987302907216e+00 -8.065496624001e-01 -1.312123561729e+00  -1.744121957757e+00 -1.981117173130e+00 -8.088081395626e-01 -1.313320885612e+00
 -1.744121957757e+00 -1.981117173130e+00 -8.088081395626e-01 -1.313320885612e+00  -1.748522693663e+00 -1.976616617817e+00 -8.104178194749e-01 -1.314164045427e+00
 -1.748522693663e+00 -1.976616617817e+00 -8.104178194749e-01 -1.314164045427e+00  -1.797512595194e+00 -1.921115850998e+00 -8.280443180020e-01 -1.322825725845e+00
 -1.797512595194e+00 -1.921115850998e+00 -8.280443180020e-01 -1.322825725845e+00  -1.825888883980e+00 -1.883252733324e+00 -8.378417622599e-01 -1.327161330379e+00
 -1.825888883980e+00 -1.883252733324e+00 -8.378417622599e-01 -1.327161330379e+00  -1.857687979742e+00 -1.833602824103e+00 -8.481524136397e-01 -1.331306774398e+00
 -1.857687979742e+00 -1.833602824103e+00 -8.481524136397e-01 -1.331306774398e+00  -1.886619157988e+00 -1.778383110337e+00 -8.564540856690e-01 -1.334273474148e+00
 -1.886619157988e+00 -1.778383110337e+00 -8.564540856690e-01 -1.334273474148e+00  -1.918681154370e+00 -1.695897616353e+00 -8.630906621034e-01 -1.336309503523e+00
 -1.918681154370e+00 -1.695897616353e+00 -8.630906621034e-01 -1.336309503523e+00  -1.928092360832e+00 -1.662934356246e+00 -8.639229475006e-01 -1.336526914138e+00
 -1.928092360832e+00 -1.662934356246e+00 -8.639229475006e-01 -1.336526914138e+00  -1.935547907270e+00 -1.630664842348e+00 -8.637759914006e-01 -1.336494029675e+00
 -1.935547907270e+00 -1.630664842348e+00 -8.637759914006e-01 -1.336494029675e+00  -1.947581656599e+00 -1.541830150078e+00 -8.586561857928e-01 -1.335532611089e+00
