#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
 -2.798528093091e-01 -4.891344851609e-01 -1.588646374447e-01 -2.877191835198e-01  -2.795236558923e-01 -4.906305837751e-01 -1.593693229648e-01 -2.888479697753e-01
 -2.795236558923e-01 -4.906305837751e-01 -1.593693229648e-01 -2.888479697753e-01  -2.778859651077e-01 -4.981957166714e-01 -1.618901947619e-01 -2.946300132650e-01
 -2.778859651077e-01 -4.981957166714e-01 -1.618901947619e-01 -2.946300132650e-01  -2.778609049279e-01 -4.983128980592e-01 -1.619288236706e-01 -2.947205132276e-01
 -2.778609049279e-01 -4.983128980592e-01 -1.619288236706e-01 -2.947205132276e-01  -2.778568924906e-01 -4.983316645589e-01 -1.619350088740e-01 -2.947350093513e-01
 -2.778568924906e-01 -4.983316645589e-01 -1.619350088740e-01 -2.947350093513e-01  -2.764507366771e-01 -5.049639304408e-01 -1.640997408095e-01 -2.999013829518e-01
 -2.764507366771e-01 -5.049639304408e-01 -1.640997408095e-01 -2.999013829518e-01  -2.762288134767e-01 -5.060194649757e-01 -1.644403043693e-01 -3.007313331421e-01
 -2.762288134767e-01 -5.060194649757e-01 -1.644403043693e-01 -3.007313331421e-01  -2.750507956406e-01 -5.116517718489e-01 -1.662387343890e-01 -3.051938133580e-01
 -2.750507956406e-01 -5.116517718489e-01 -1.662387343890e-01 -3.051938133580e-01  -2.746244620590e-01 -5.136991196985e-01 -1.668845027199e-01 -3.068295687296e-01
 -2.746244620590e-01 -5.136991196985e-01 -1.668845027199e-01 -3.068295687296e-01  -2.736526069302e-01 -5.183748319075e-01 -1.683430916425e-01 -3.105912000708e-01
 -2.736526069302e-01 -5.183748319075e-01 -1.683430916425e-01 -3.105912000708e-01  -2.730290556059e-01 -5.213757036110e-01 -1.692671785589e-01 -3.130236517715e-01
 -2.730290556059e-01 -5.213757036110e-01 -1.692671785589e-01 -3.130236517715e-01  -2.722472753782e-01 -5.251318973849e-01 -1.704104074678e-01 -3.160875120899e-01
 -2.722472753782e-01 -5.251318973849e-01 -1.704104074678e-01 -3.160875120899e-01  -2.714277042676e-01 -5.290543284052e-01 -1.715880679384e-01 -3.193087115807e-01
 -2.714277042676e-01 -5.290543284052e-01 -1.715880679384e-01 -3.193087115807e-01  -2.708253419373e-01 -5.319221244235e-01 -1.724385123851e-01 -3.216772643075e-01
 -2.708253419373e-01 -5.319221244235e-01 -1.724385123851e-01 -3.216772643075e-01  -2.698049863822e-01 -5.367402883442e-01 -1.738469730659e-01 -3.256809939042e-01
 -2.698049863822e-01 -5.367402883442e-01 -1.738469730659e-01 -3.256809939042e-01  -2.693766124458e-01 -5.387450397501e-01 -1.744254082078e-01 -3.273554959887e-01
 -2.693766124458e-01 -5.387450397501e-01 -1.744254082078e-01 -3.273554959887e-01  -2.681444264921e-01 -5.444392394599e-01 -1.760436856564e-01 -3.321378319871e-01
