#
# Columns: x1 y1 u1 v1 x2 y2 u2 v2
#
# To plot the image plane curves, connect each (x1,y1)
# to the (x2,y2) on the same line -- do *not* connect
# consecutive lines!
#
# To plot the source plane curves, do the same for
# (u1,v1) and (u2,v2).
#
 -2.955488040914e-01 -4.590724026092e-01 -1.584632300875e-01 -2.721127899775e-01  -2.973885658460e-01 -4.550392615568e-01 -1.571757448445e-01 -2.697334410072e-01
 -2.973885658460e-01 -4.550392615568e-01 -1.571757448445e-01 -2.697334410072e-01  -2.994076766205e-01 -4.506187698113e-01 -1.557550901615e-01 -2.671924892390e-01
 -2.994076766205e-01 -4.506187698113e-01 -1.557550901615e-01 -2.671924892390e-01  -3.031097326267e-01 -4.425078263859e-01 -1.531261845258e-01 -2.627130315750e-01
 -3.031097326267e-01 -4.425078263859e-01 -1.531261845258e-01 -2.627130315750e-01  -3.032657000376e-01 -4.421654285139e-01 -1.530146518064e-01 -2.625291404738e-01
 -3.032657000376e-01 -4.421654285139e-01 -1.530146518064e-01 -2.625291404738e-01  -3.035770328943e-01 -4.414817102412e-01 -1.527918174879e-01 -2.621631997904e-01
 -3.035770328943e-01 -4.414817102412e-01 -1.527918174879e-01 -2.621631997904e-01  -3.071646324014e-01 -4.335690810395e-01 -1.502023528160e-01 -2.580499394056e-01
 -3.071646324014e-01 -4.335690810395e-01 -1.502023528160e-01 -2.580499394056e-01  -3.090548261009e-01 -4.293652810540e-01 -1.488199362122e-01 -2.559552627722e-01
 -3.090548261009e-01 -4.293652810540e-01 -1.488199362122e-01 -2.559552627722e-01  -3.109445360017e-01 -4.251294084583e-01 -1.474233504448e-01 -2.539075177319e-01
 -3.109445360017e-01 -4.251294084583e-01 -1.474233504448e-01 -2.539075177319e-01  -3.141733582651e-01 -4.177937764630e-01 -1.449985190935e-01 -2.505086867131e-01
 -3.141733582651e-01 -4.177937764630e-01 -1.449985190935e-01 -2.505086867131e-01  -3.145789963224e-01 -4.168618851671e-01 -1.446900812835e-01 -2.500901411785e-01
 -3.145789963224e-01 -4.168618851671e-01 -1.446900812835e-01 -2.500901411785e-01  -3.148024312710e-01 -4.163474853206e-01 -1.445197979948e-01 -2.498603724066e-01
 -3.148024312710e-01 -4.163474853206e-01 -1.445197979948e-01 -2.498603724066e-01  -3.181031382944e-01 -4.086484093708e-01 -1.419698613966e-01 -2.465280455841e-01
 -3.181031382944e-01 -4.086484093708e-01 -1.419698613966e-01 -2.465280455841e-01  -3.202267699709e-01 -4.035812979803e-01 -1.402918095929e-01 -2.444424658274e-01
 -3.202267699709e-01 -4.035812979803e-01 -1.402918095929e-01 -2.444424658274e-01  -3.214410029753e-01 -4.006377226965e-01 -1.393177302130e-01 -2.432694782818e-01
 -3.214410029753e-01 -4.006377226965e-01 -1.393177302130e-01 -2.432694782818e-01  -3.234404104895e-01 -3.957083579645e-01 -1.376886427937e-01 -2.413677630808e-01
 -3.234404104895e-01 -3.957083579645e-01 -1.376886427937e-01 -2.413677630808e-01  -3.252622216378e-01 -3.911177935674e-01 -1.361749548024e-01 -2.396663124660e-01
 -3.252622216378e-01 -3.911177935674e-01 -1.361749548024e-01 -2.396663124660e-01  -3.278017762278e-01 -3.845393046433e-01 -1.340138849357e-01 -2.373430560869e-01
 -3.278017762278e-01 -3.845393046433e-01 -1.340138849357e-01 -2.373430560869e-01  -3.298797827622e-01 -3.789795464194e-01 -1.321973068137e-01 -2.354834304513e-01
 -3.298797827622e-01 -3.789795464194e-01 -1.321973068137e-01 -2.354834304513e-01  -3.313260366943e-01 -3.750039158550e-01 -1.309051927361e-01 -2.342110802782e-01
 -3.313260366943e-01 -3.750039158550e-01 -1.309051927361e-01 -2.342110802782e-01  -3.340767731776e-01 -3.671686425936e-01 -1.283792109984e-01 -2.318413553015e-01
 -3.340767731776e-01 -3.671686425936e-01 -1.283792109984e-01 -2.318413553015e-01  -3.378513434529e-01 -3.557218664730e-01 -1.247507837475e-01 -2.287009987666e-01
 -3.378513434529e-01 -3.557218664730e-01 -1.247507837475e-01 -2.287009987666e-01  -3.378662073221e-01 -3.556749525464e-01 -1.247360916785e-01 -2.286888999047e-01
 -3.378662073221e-01 -3.556749525464e-01 -1.247360916785e-01 -2.286888999047e-01  -3.378765958632e-01 -3.556421535824e-01 -1.247258207766e-01 -2.286804447754e-01
 -3.378765958632e-01 -3.556421535824e-01 -1.247258207766e-01 -2.286804447754e-01  -3.410327896487e-01 -3.452906024136e-01 -1.215264071658e-01 -2.261624828959e-01
 -3.410327896487e-01 -3.452906024136e-01 -1.215264071658e-01 -2.261624828959e-01  -3.433398926008e-01 -3.371578301215e-01 -1.190797712107e-01 -2.243907197551e-01
 -3.433398926008e-01 -3.371578301215e-01 -1.190797712107e-01 -2.243907197551e-01  -3.438162230276e-01 -3.354083067999e-01 -1.185621898093e-01 -2.240327986349e-01
